2020-02-22 16:02:13,154 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -1336 31 3944
2020-02-22 16:02:32,442 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1464 69 3992
2020-02-22 16:02:34,774 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! EPIC chest at coords: -1432 48 4083
2020-02-22 16:02:44,594 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1512 67 3896
2020-02-22 16:03:14,018 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-02-22 16:03:14,018 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -1448 31 4355
2020-02-22 16:03:35,365 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-02-22 16:03:35,365 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! RARE chest at coords: -1390 31 4464
2020-02-22 16:03:38,639 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! RARE chest at coords: -1560 82 4488
2020-02-22 16:03:51,390 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1656 70 4440
2020-02-22 16:04:02,295 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1736 68 4408
2020-02-22 16:04:20,464 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1784 63 4248
2020-02-22 16:04:23,189 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -1544 70 4166
2020-02-22 16:04:23,214 [Server thread] INFO Treasure2 | WitherTreeWorldGenerator.java:334 | CHEATER! wither chest at coords: -1544 71 4168
2020-02-22 16:04:32,754 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -1816 69 4360
2020-02-22 16:04:47,854 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1864 64 4168
2020-02-22 16:05:42,474 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1896 65 4280
2020-02-22 16:07:26,240 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1816 73 4440
2020-02-22 16:07:37,700 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1768 77 4504
2020-02-22 16:07:44,796 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1928 89 4488
2020-02-22 16:08:23,946 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! RARE chest at coords: -1832 71 4552
2020-02-22 16:08:31,147 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1704 71 4584
2020-02-22 16:08:42,111 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1864 65 4632
2020-02-22 16:08:44,523 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -1836 70 4644
2020-02-22 16:08:48,953 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1784 66 4664
2020-02-22 16:09:19,307 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1848 82 4712
